concentration,track,total_courses,required_courses,tutorials,thesis,other_notes
Classics,Classical Civilizations Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"CLASSIC 97 sophomore, CLASSIC 98 junior, CLASSIC 99 senior.",Required.,
Comparative Literature,Basic Requirements,10 courses (40 credits),"COMPLIT 97, COMPLIT 98, one literary theory/criticism course, courses in at least two national literatures (one in a language other than English), six elective literature courses.","COMPLIT 97 sophomore, COMPLIT 98 junior.",None.,
Comparative Literature,Honors Requirements,12 courses (48 credits),Same as Basic.,"COMPLIT 97, COMPLIT 98.",Required (COMPLIT 99 two terms).,
Computer Science,Basic Requirements,10 courses (40 credits),"COMPSCI 20 or COMPSCI 50, COMPSCI 51, COMPSCI 61, COMPSCI 120, MATH 21A or MATH 22A, STAT 110 or MATH 154, three CS electives at 100-level or above.",None required.,None.,
Computer Science,Honors Requirements,12 courses (48 credits),"Same as Basic, plus COMPSCI 91R junior research.",None required.,Required (COMPSCI 99 two terms).,
Computer Science,Joint Concentration Requirements,~10 courses,"Core CS requirements reduced; COMPSCI 91R, COMPSCI 99.",None.,Required.,
Earth and Planetary Sciences,Basic Requirements,12 courses (48 credits),"EPS 1 or EPS 3, MATH 21A, MATH 21B, PHYSCI 12A and PHYSCI 12B or PHYSICS 15A/15B, CHEM 10 or equivalent, EPS 131, one additional 100-level EPS course, two EPS electives.","EPS 97 sophomore, EPS 98 junior.",None.,
Earth and Planetary Sciences,Honors Requirements,14 courses (56 credits),Same as Basic.,"EPS 97 sophomore, EPS 98 junior, EPS 99 senior.",Required (EPS 99 two terms).,
East Asian Studies,Basic Requirements,12 courses (48 credits),"Four semesters of an East Asian language (Chinese, Japanese, or Korean), EAS 97, seven EAS/approved courses across disciplines.",EAS 97 junior tutorial required.,None.,
East Asian Studies,Honors Requirements,14 courses (56 credits),Same as Basic.,"EAS 97, EAS 99 senior.",Required (EAS 99 two terms).,
East Asian Studies,Joint Concentration Requirements,Reduced EAS coursework,"EAS 97, EAS 99, East Asian language coursework, EAS electives.","EAS 97, EAS 99.",Required.,
Economics,Basic Requirements,11 courses (44 credits),"ECON 10A, ECON 10B, MATH 1A or placement out, ECON 970, STAT 100/102/104/110 or equivalent, ECON 1010A or ECON 1011A, ECON 1010B or ECON 1011B, ECON 1123 or ECON 1126, three additional economics courses.",ECON 970 sophomore tutorial required.,None.,Does not participate in joint concentrations.
Economics,Honors Requirements,13 courses (52 credits),"Same as Basic, plus ECON 985 junior research.","ECON 970 sophomore, ECON 985 junior.",Required (ECON 99 two terms).,
Electrical Engineering,A.B. Requirements,13 courses (52 credits),"MATH 21A, MATH 21B, PHYSCI 12A, PHYSCI 12B or PHYSICS 15A/15B, COMPSCI 50 or equivalent, ENG-SCI 51, ENG-SCI 53, ENG-SCI 100, ENG-SCI 120, ENG-SCI 154, two EE concentration electives, one engineering breadth elective.",None required.,Optional.,
Electrical Engineering,S.B. Requirements,18 courses (72 credits),"Same as A.B. plus additional advanced math, physics, and EE courses.",None required.,Required for honors S.B.,
Engineering Sciences,Bioengineering Track — A.B. Requirements,14 courses (56 credits),"MATH 21A, MATH 21B, PHYSCI 12A, PHYSCI 12B, LS 1A, CHEM 17 or CHEM 20, ENG-SCI 50, ENG-SCI 53, ENG-SCI 120, BIOPHYS 101, two BE electives.",None required.,Optional.,
Engineering Sciences,Bioengineering Track — S.B. Requirements,18 courses (72 credits),Same as A.B. plus additional math and engineering courses.,None required.,Required for honors.,
Engineering Sciences,Mechanical and Materials Science Track — A.B. Requirements,14 courses (56 credits),"MATH 21A, MATH 21B, PHYSCI 12A, PHYSCI 12B, CHEM 10, ENG-SCI 51, ENG-SCI 53, ENG-SCI 100, ENG-SCI 120, ENG-SCI 123, two MechE electives.",None required.,Optional.,
Engineering Sciences,Mechanical and Materials Science Track — S.B. Requirements,18 courses (72 credits),Same as A.B. plus additional math and engineering courses.,None required.,Required for honors.,
English,Basic Requirements,11 courses (44 credits),"ENGLISH 97, ENGLISH 98, one pre-1700 literature course, one poetry/poetics course, seven English literature electives.","ENGLISH 97 sophomore, ENGLISH 98 junior.",None.,
English,Honors Requirements,13 courses (52 credits),Same as Basic.,"ENGLISH 97, ENGLISH 98.",Required (ENGLISH 99 two terms).,
English,Joint Concentration Requirements,Reduced English coursework,"ENGLISH 97, ENGLISH 99, pre-1700 course, electives.","ENGLISH 97, ENGLISH 99.",Required.,
Environmental Science and Engineering,A.B. Requirements,13 courses (52 credits),"MATH 21A, MATH 21B, PHYSCI 12A, PHYSCI 12B or equivalent, CHEM 10 or equivalent, LS 1A or LPS A, EPS 101 or equivalent, ESE 101, one additional ESE core course, two ESE electives.",None formally required.,Optional.,
Environmental Science and Engineering,S.B. Requirements,17 courses (68 credits),"Same as A.B. plus additional math, science, and engineering courses.",None formally required.,Required for honors S.B.,
Environmental Science and Public Policy,Basic Requirements,13 courses (52 credits),"Core science courses (math, biology, chemistry, earth science — 4 courses), ESPP 97, ESPP 98, five field-of-specialization electives, two social science/policy courses.",ESPP 97 junior tutorial required.,None.,
Environmental Science and Public Policy,Honors Requirements,15 courses (60 credits),Same as Basic.,"ESPP 97, ESPP 99 senior.",Required (ESPP 99 two terms).,
Folklore and Mythology,Basic Requirements,11 courses (44 credits),"FOLKLORE 97, FOLKLORE 98, one folklore theory/method course, one mythology course, seven electives in folklore/mythology/related fields.","FOLKLORE 97 sophomore, FOLKLORE 98 junior.",None.,
Folklore and Mythology,Honors Requirements,13 courses (52 credits),Same as Basic.,"FOLKLORE 97, FOLKLORE 98, FOLKLORE 99 senior.",Required.,
Germanic Languages and Literatures,German Studies Track — Basic Requirements,11 courses (44 credits),"German language through 100-level, two 100-level German literature/culture courses, five electives in Germanic studies or related fields.","GERMANIC 97 sophomore, GERMANIC 98 junior.",None.,
Germanic Languages and Literatures,German Studies Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"GERMANIC 97, GERMANIC 98, GERMANIC 99 senior.",Required.,
Germanic Languages and Literatures,Scandinavian Studies Track — Basic Requirements,11 courses (44 credits),"Scandinavian language through 100-level, two 100-level Scandinavian courses, five electives.","SCANDVN 97 sophomore, SCANDVN 98 junior.",None.,
Germanic Languages and Literatures,Scandinavian Studies Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"SCANDVN 97, SCANDVN 98, SCANDVN 99 senior.",Required.,
Government,Basic Requirements,10 courses (40 credits),"GOV 97, GOV 98, GOV 1005 or GOV 1006 (political theory), two subfield distribution courses (American politics, comparative politics, international relations, or political theory), five Government electives.","GOV 97 sophomore, GOV 98 junior.",None.,
Government,Honors Requirements,12 courses (48 credits),Same as Basic.,"GOV 97, GOV 98, GOV 99 senior.",Required (GOV 99 two terms).,
Government,Joint Concentration Requirements,Reduced Government coursework,"GOV 97, GOV 99, political theory course, two subfield courses, two electives.","GOV 97, GOV 99.",Required.,
History,Basic Requirements,11 courses (44 credits),"HIST 97, HIST 98, breadth across at least three geographic areas, depth in one area (at least three courses), one premodern course (before 1700), four History electives.","HIST 97 sophomore, HIST 98 junior.",None.,
History,Honors Requirements,13 courses (52 credits),Same as Basic.,"HIST 97, HIST 98, HIST 99 senior.",Required (HIST 99 two terms).,
History & Literature,Standard Requirements,12 courses (48 credits),"HISTLIT 97A, HISTLIT 97B, HISTLIT 98, HISTLIT 99A or HISTLIT 99B, one literary criticism/theory course, seven electives spanning at least two historical periods and two national traditions.","HISTLIT 97A and 97B sophomore, HISTLIT 98 junior, HISTLIT 99 senior.",Required (senior tutorial culminates in thesis).,H&L must be primary concentration in joint plans except when creative senior project is planned.
History and Science,History of Science Track — Basic Requirements,11 courses (44 credits),"HISTSCI 97, HISTSCI 98, one pre-20th century history of science course, one 20th/21st-century history of science course, one science course, five history of science electives.","HISTSCI 97 sophomore, HISTSCI 98 junior.",None.,
History and Science,History of Science Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"HISTSCI 97, HISTSCI 98, HISTSCI 99 senior.",Required.,
History and Science,Sociology of Science Track — Basic Requirements,11 courses (44 credits),"HISTSCI 97, HISTSCI 98, sociology of science courses, one science course, five electives in sociology of science.","HISTSCI 97, HISTSCI 98.",None.,
History and Science,Sociology of Science Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"HISTSCI 97, HISTSCI 98, HISTSCI 99 senior.",Required.,
History and Science,History of Medicine Track — Basic Requirements,11 courses (44 credits),"HISTSCI 97, HISTSCI 98, one history of medicine course, one pre-modern medicine course, one science course, five electives.","HISTSCI 97, HISTSCI 98.",None.,
History and Science,History of Medicine Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"HISTSCI 97, HISTSCI 98, HISTSCI 99 senior.",Required.,
History of Art and Architecture,Basic Requirements,11 courses (44 credits),"HAARH 97, HAARH 98, one pre-modern art history course (before 1800), one non-Western art history course, two 100-level art history seminars, five art history/related electives.","HAARH 97 sophomore, HAARH 98 junior.",None.,
History of Art and Architecture,Honors Requirements,13 courses (52 credits),Same as Basic.,"HAARH 97, HAARH 98, HAARH 99 senior.",Required.,
History of Art and Architecture,Joint Concentration Requirements,Reduced HAARH coursework,"HAARH 97, HAARH 99, pre-modern course, non-Western course, two electives.","HAARH 97, HAARH 99.",Required.,
"Human Biology, Behavior, and Evolution",Basic Requirements,12 courses (48 credits),"HEB 1200, two human biology courses (anatomy/physiology/genetics), two behavior/psychology/neuroscience courses, MATH 19A or MATH 21A, STAT 100 or equivalent, four HEB electives.","HEB 97 sophomore, HEB 98 junior.",None.,
"Human Biology, Behavior, and Evolution",Honors Requirements,14 courses (56 credits),Same as Basic.,"HEB 97, HEB 98, HEB 99 senior.",Required.,
Human Developmental and Regenerative Biology,Basic Requirements,13 courses (52 credits),"LS 1A, LS 1B or equivalents, SCRB 10, CHEM 17 or CHEM 20, MATH 21A, MCB 63 or MCB 64, HDRB 99R lab research (two semesters), three HDRB/approved electives.",SCRB/HDRB junior tutorial.,None.,
Human Developmental and Regenerative Biology,Honors Requirements,15 courses (60 credits),Same as Basic.,"SCRB/HDRB junior tutorial, SCRB 99 senior.",Required (SCRB 99 two terms).,
Integrative Biology,Basic Requirements,13 courses (52 credits),"LS 1A, LS 1B, OEB 10, three breadth courses from OEB 11/50-60 range/MCB 60-63/LS 2/SCRB 10, three advanced OEB 100-level courses, MATH 19A or MATH 21A, STAT 100 or equivalent, one additional elective.","OEB 97 sophomore, OEB 98 junior.",None.,Does not participate in joint concentrations.
Linguistics,Basic Requirements,10 courses (40 credits),"LING 97, LING 98, LING 101, LING 102 or LING 103 (phonology or syntax), one non-English language/language family course, five Linguistics electives.","LING 97 sophomore, LING 98 junior.",None.,
Linguistics,Honors Requirements,12 courses (48 credits),Same as Basic.,"LING 97, LING 98, LING 99 senior.",Required.,
Mathematics,Basic Requirements,10 courses (40 credits),"MATH 21A, MATH 21B or equivalents, MATH 112 (Real Analysis), MATH 121 (Linear Algebra), MATH 122 (Algebra), one additional analysis or geometry course, four math electives at 100-level or above.",None required.,None.,
Mathematics,Honors Requirements,12 courses (48 credits),Same as Basic.,MATH 99 senior thesis tutorial.,Required (MATH 99 two terms).,
Mechanical Engineering,A.B. Requirements,14 courses (56 credits),"MATH 21A, MATH 21B, PHYSCI 12A, PHYSCI 12B, ENG-SCI 51, ENG-SCI 53, ENG-SCI 100, ENG-SCI 123, CHEM 10 or equivalent, three MechE electives, one engineering breadth elective.",None required.,Optional.,
Mechanical Engineering,S.B. Requirements,18 courses (72 credits),Same as A.B. plus additional math and advanced engineering courses.,None required.,Required for honors S.B.,
Molecular and Cellular Biology,Basic Requirements,13 courses (52 credits),"LS 1A or LPS A, MCB 52, MCB 60, MCB 63 or MCB 64, CHEM 17 or CHEM 20, MATH 21A, STAT 100 or equivalent, three MCB 100-level electives, one additional science elective.","MCB 97 sophomore, MCB 98 junior.",None.,
Molecular and Cellular Biology,Honors Requirements,15 courses (60 credits),Same as Basic.,"MCB 97, MCB 98, MCB 99 senior.",Required (MCB 99 two terms).,
Music,Basic Requirements,10 courses (40 credits),"MUSIC 97, MUSIC 98, MUSIC 51 or equivalent music theory through 100-level, one music history survey, one non-Western music course, five Music electives.","MUSIC 97 sophomore, MUSIC 98 junior.",None.,
Music,Honors Requirements,12 courses (48 credits),Same as Basic.,"MUSIC 97, MUSIC 98, MUSIC 99 senior.",Required.,
Near Eastern Languages and Civilizations,Middle East in Antiquity Track — Basic Requirements,11 courses (44 credits),"Two semesters of ancient Near Eastern language (Akkadian/Hebrew/etc.), NELC 97, NELC 98, five NELC courses, two related electives.","NELC 97 sophomore, NELC 98 junior.",None.,
Near Eastern Languages and Civilizations,Middle East in Antiquity Track — Honors Requirements,13 courses (52 credits),Same as Basic.,"NELC 97, NELC 98, NELC 99 senior.",Required.,
Near Eastern Languages and Civilizations,Jewish Studies Track — Basic Requirements,11 courses (44 credits),"Hebrew or Yiddish through intermediate level, NELC 97, five Jewish studies courses, two electives.","NELC 97 sophomore, NELC 98 junior.",None.,
Near Eastern Languages and Civilizations,Histories and Cultures of Muslim Societies Track — Basic Requirements,11 courses (44 credits),"Arabic or Persian/Turkish language, NELC 97, five Islamic history/culture courses, two electives.","NELC 97 sophomore, NELC 98 junior.",None.,
Near Eastern Languages and Civilizations,Modern Middle East Track — Basic Requirements,11 courses (44 credits),"Arabic, Hebrew, Persian, or Turkish language, NELC 97, five modern Middle East courses, two electives.","NELC 97 sophomore, NELC 98 junior.",None.,
Neuroscience,Basic Requirements,12 courses (48 credits),"NEURO 80 or MCB 80, NEURO 101, NEURO 102, LS 1A or LPS A, MATH 19A or MATH 21A, STAT 100 or equivalent, five Neuroscience 100-level electives.","NEURO 97 sophomore, NEURO 98 junior.",None.,
Neuroscience,Honors Requirements,14 courses (56 credits),Same as Basic.,"NEURO 97, NEURO 98, NEURO 99 senior.",Required (NEURO 99 two terms).,
Philosophy,Basic Requirements,10 courses (40 credits),"PHIL 97, PHIL 98, one 100-level ethics or political philosophy course, one 100-level metaphysics or epistemology course, one logic or philosophy of language course, five Philosophy electives.","PHIL 97 sophomore, PHIL 98 junior.",None.,
Philosophy,Honors Requirements,12 courses (48 credits),Same as Basic.,"PHIL 97, PHIL 98, PHIL 99 senior.",Required.,
Physics,Basic Requirements,10 courses (40 credits),"PHYSICS 15A, PHYSICS 15B, PHYSICS 15C or equivalents, MATH 21A, MATH 21B, PHYSICS 143A, PHYSICS 143B, one additional 100-level physics course, two physics electives.",None required.,None.,
Physics,Honors Requirements,12 courses (48 credits),Same as Basic.,PHYSICS 99 senior thesis tutorial.,Required (PHYSICS 99 two terms).,
Psychology,General Track — Basic Requirements,11 courses (44 credits),"PSYCH 1, PSYCH 15, STAT 100 or equivalent, PSYCH 98, seven additional psychology courses across at least three subfields.",PSYCH 98 junior tutorial.,None.,Does not ordinarily participate in joint concentrations.
Psychology,Cognitive Science (MBB) Track — Basic Requirements,11 courses (44 credits),"PSYCH 1, LS 1A, MCB 80 or NEURO 80, STAT 100, PSYCH 98, six courses spanning cognition/neuroscience/linguistics.",PSYCH 98 junior tutorial.,None.,
Psychology,Cognitive Neuroscience and Evolutionary Psychology Track — Basic Requirements,11 courses (44 credits),"PSYCH 1, LS 1A, MATH 19A or MATH 21A, STAT 100, PSYCH 98, six biologically-oriented psychology courses.",PSYCH 98 junior tutorial.,None.,
Comparative Study of Religion,Basic Requirements,11 courses (44 credits),"RELIGION 97, RELIGION 98, one method/theory of religion course, courses in at least two religious traditions, six religion/related electives.","RELIGION 97 sophomore, RELIGION 98 junior.",None.,
Comparative Study of Religion,Honors Requirements,13 courses (52 credits),Same as Basic.,"RELIGION 97, RELIGION 98, RELIGION 99 senior.",Required.,
Romance Languages and Literatures,Basic Requirements,11 courses (44 credits),"Proficiency in at least one Romance language at 100-level, ROMLIT 97, ROMLIT 98, one Romance literature survey, one second Romance language/literature course, six French/Italian/Portuguese/Spanish literature and culture electives.","ROMLIT 97 sophomore, ROMLIT 98 junior.",None.,
Romance Languages and Literatures,Honors Requirements,13 courses (52 credits),Same as Basic.,"ROMLIT 97, ROMLIT 98, ROMLIT 99 senior.",Required.,
Slavic Languages and Literatures,Basic Requirements,11 courses (44 credits),"Four Slavic language courses (Russian/Czech/Polish/Ukrainian/etc.), SLAVIC 97, two 100-level Slavic literature/culture courses, three Slavic electives.",SLAVIC 97 sophomore tutorial.,None (senior capstone project instead).,
Slavic Languages and Literatures,Honors Requirements,13 courses (52 credits),Same as Basic.,"SLAVIC 97 sophomore, SLAVIC 99 senior.",Required (replaces capstone).,
Social Studies,Basic Requirements,13 courses (52 credits),"SOC-STD 10A, SOC-STD 10B, SOC-STD 98 junior tutorial (two terms), SOC-STD 99A and SOC-STD 99B senior tutorial, one economics course, one additional social science course, six electives across social sciences.","SOC-STD 98 junior (two terms), SOC-STD 99 senior (two terms).",Required (SOC-STD 99 senior tutorial culminates in thesis).,
Sociology,Basic Requirements,11 courses (44 credits),"SOC 97, SOC 98, SOC 100 (Social Theory), SOC 101 (Research Methods), STAT 100 or equivalent, six sociology electives at 100-level.","SOC 97 sophomore, SOC 98 junior.",None.,
Sociology,Honors Requirements,13 courses (52 credits),Same as Basic.,"SOC 97, SOC 98, SOC 99 senior.",Required (SOC 99 two terms).,
South Asian Studies,Basic Requirements,11 courses (44 credits),"SAS 97, SAS 98, two semesters of a South Asian language, one South Asian history course, one South Asian culture/religion/literature course, six South Asian Studies electives.","SAS 97 sophomore, SAS 98 junior.",None.,
South Asian Studies,Honors Requirements,13 courses (52 credits),Same as Basic.,"SAS 97, SAS 98, SAS 99 senior.",Required.,
South Asian Studies,Joint Concentration Requirements,Reduced SAS coursework,"SAS 97 or allied junior tutorial, SAS 99 or allied senior thesis, language requirement, four SAS courses.","SAS 97 or allied, SAS 99 or allied.",Required.,
Special Concentrations,Standard Requirements,14 courses (56 credits),Individualized Plan of Study approved by Standing Committee; no standard required courses.,As specified in individual plan.,Required.,Must apply and be admitted. No joint or double concentrations.
Statistics,Basic Requirements,10 courses (40 credits),"STAT 110, STAT 111, MATH 21A, MATH 21B or equivalents, COMPSCI 50 or equivalent, STAT 139, three Statistics 100-level courses, one application-domain elective.",None required.,None.,
Statistics,Honors Requirements,12 courses (48 credits),Same as Basic.,STAT 99 senior thesis tutorial.,Required (STAT 99 two terms).,
"Theater, Dance & Media",Basic Requirements,11 courses (44 credits),"TDM 97, TDM 98, one TDM history/theory course, one TDM studio practice course, one production crew assignment, six TDM electives.","TDM 97 sophomore, TDM 98 junior.",Required (all concentrators must complete senior thesis).,
"Theater, Dance & Media",Joint Concentration Requirements,Reduced TDM coursework,"TDM 97, TDM 99, TDM history/theory course, studio course, production crew assignment, two TDM electives.","TDM 97, TDM 99.",Required.,
"Studies of Women, Gender, and Sexuality",Basic Requirements,11 courses (44 credits),"WGS 97, WGS 98, one feminist/gender theory course, courses in at least two disciplinary approaches, six WGS/related electives.","WGS 97 sophomore, WGS 98 junior.",None.,
"Studies of Women, Gender, and Sexuality",Honors Requirements,13 courses (52 credits),Same as Basic.,"WGS 97, WGS 98, WGS 99 senior.",Required (WGS 99 two terms).,
